sentence_id,score,sentence,question,answer
46,0.952968418598175,Eclipse4 Dependency Injection1 tools facilities reverse engineering,What is the name of the tool that uses the Eclipse4 Dependency Injection1 tools?,reverse engineering
47,0.9529532194137573,techniques must able identify duplicate records relate activities single customer,What must be able to identify duplicate records relate activities single customer?,techniques
48,0.952735185623169,time add 4byte articial category key Exception Handling8,How manybytes articial category key add?,4
49,0.9525415897369385,a link analysis technique,What technique is used to analyze link analysis?,link analysis
50,0.9523754119873047,general functionalstyle code choose regard functions referentially transparent,What type of code is a general functionalstyle code?,transparent
51,0.9517703652381897,Remember capricious design choice conscious design strategy centered two trends regard climate change model chapter 1 increasing,What is the focus of two trends in the climate change model?,capricious design choice conscious design strategy
52,0.9508583545684814,learnt individual technique works discovers knowledge,What is the knowledge of the learnt individual technique?,knowledge
53,0.9507971405982971,example programmatically build italianFormatter used listing 1211 DateTimeFormatterBuilder,What is the name of the example that was used to build italianFormatter?,1211 DateTimeFormatterBuilder
54,0.9499053955078125,410 effect convergence two technologies must consider three orders effects decreasing costs documented Thomas W Malone John F,What is the 410 effect convergence two technologies must consider three orders effects decreasing costs?,410
55,0.9498336911201477,Eclipse5 Technique Underlying Structure Basic Process Validation Method Cross validation verify accuracy,What is the basic process validation method?,Cross validation verify accuracy
56,0.9496878385543823,may apply cluster detection technique identify clusters customers may apply cluster detection technique,What can customers use cluster detection technique?,clusters
57,0.9496840834617615,Let me see technique works,What is the technique that works?,Let me see technique
58,0.9496001601219177,Information Centers,What is the name of the information center?,Information Centers
59,0.9492485523223877,technical analysts responsible for deeper intense analysis,Technical analysts responsible for deep intensive analysis?,technical
60,0.9491084218025208,World Bank Performs complex statistical analyses mass worldwide econometric data,How many econometric data does World Bank perform?,worldwide
61,0.9487466812133789,Develop Standards Create Aggregates Plan Determine Data Partitioning Establish Dependency Injection5 Options,What is the main reason for the development of standards?,Data Partitioning
62,0.9482241272926331,process close snowaking technique,What is the process close to snowaking technique?,process
63,0.947949230670929,Eclipse5 used work chemical synthesis data step nd best conditions yield enhancement step,What was the best conditions yield enhancement step?,work chemical synthesis data step
64,0.9476178884506226,Let us go general areas enterprise data ware house assist planning assessment phases management loop,What is the enterprise data ware house assist planning assessment phases?,management loop
65,0.9475814700126648,See technologies maturing evolving emerging,What is the emerging emerging technology?,technologies maturing
66,0.9471039772033691,data structures database schema remain realm professionals,What database schema remains realm professionals?,data structures
67,0.9464108943939209,sample types data would include clinical trial results annotated databases disease proles chemical structures com bin,What would include clinical trial results annotated databases disease proles chemical structures com bin?,sample types data
68,0.9463601112365723,Ideally like minimize engineering effort,What is the ideal way to minimize engineering effort?,minimize engineering effort
69,0.9462597370147705,extremely difcult nd optimization model improve overall production yield,What is the result of a very difcult nd optimization model?,improve overall production yield
70,0.9461890459060669,Using technique creating information packages able assess requirements dimensionally model data require ments,What is the technique used to create information packages?,able assess requirements dimensionally model data require ments
71,0.9451157450675964,- a limited drill,What drill is limited to drills?,limited drill
72,0.9451157450675964,- a limited drill,What drill is limited to drills?,limited drill
73,0.9447278380393982,a new technique makes sense mountains data derive useful results,What is a new technique that makes sense?,mountains data derive useful results
74,0.9444862008094788,Iterate,What is the name of the iterate,Iterate
75,0.9444848895072937,Discover Extent Data Pollution apply data cleans ing techniques assess extent data pollution,What is the purpose of data cleans ing techniques?,assess extent data pollution
76,0.9444624185562134,done something bit advanced equivalent method go take different new behaviors arguments execute,What method go take different new behaviors arguments execute?,done something bit advanced equivalent
77,0.9438133239746094,data extraction technique reads transaction log selects committed transactions,What is the process used to extract data from transactions?,data extraction technique
78,0.9436012506484985,basic form syntax declare instantiate classes similar Abstraction6,What is the basic syntax of the basic form syntax?,declare instantiate classes similar
79,0.9433876276016235,Consider the following: Speciac design considerations,What are the considerations of Speciac design?,Consider the following: Speciac design considerations
80,0.9432183504104614,B specific program print,What is the B specific program print?,B specific program print
81,0.9417127370834351,memory-based reasoning MBR technique work,What memory-based reasoning MBR technique work?,memory-based
82,0.941646933555603,part analysis design pro gramming testing phases,What is the design of a part analysis design pro gramming testing phase?,part analysis design
83,0.9412654638290405,fact table navigation goes directly supplier dimension isolate sup plier causing problem,What is the source dimension isolate sup plier causing problem?,supplier
84,0.9409826397895813,previous technique results indicate sequential events time,What did previous technique results indicate?,sequential events time
85,0.9409165382385254,general using concept write code flexible reusable,What is the use of concept write code flexible reusable?,general
86,0.9405043125152588,techniques provide minimally invasive user Abstraction5,What is the minimum invasive user Abstraction?,techniques provide minimally invasive user Abstraction5
87,0.9400537610054016,decision maker arrives specic product type course analysis,What is the type of course analysis?,specic product
88,0.9393548369407654,Several data extraction techniques available advantages disadvantages,What are disadvantages of data extraction techniques?,disadvantages
89,0.9377244710922241,debate point length simplest adage functionalstyle programming generally uses equals compare structured values rather,What is the most common adage functionalstyle programming?,equals compare structured values
90,0.9372601509094238,could perform various types threedimensional analysis sales,What type of analysis sales could be performed?,threedimensional
91,0.9364095330238342,major seasonal cam paign,What is the major seasonal cam paign?,seasonal cam paign
92,0.9361475706100464,Thus automatically partition workload given operation cores multicore processor keep equally busy,What does multicore processor keep equally busy?,automatically partition workload given operation cores
93,0.9361002445220947,180 hardware considers memory units one giant memory,What is one giant memory unit?,memory units
94,0.9355928897857666,accumulator accumulator type,What type of accumulator type is used to describe the type of accumulator type?,accumulator
95,0.9348267912864685,explorers are able to understand the structure of the analysis.,What is the structure of the analysis?,explorers are able to understand
96,0.9338740706443787,tools specialize complex analysis,Tools specialize complex analysis,tools
97,0.9337126016616821,One might remark technique like updating file CDR allows file written burning laser multiple versions file stored,What is the technique that allows file written burning laser multiple versions file stored?,updating file CDR
98,0.9335339665412903,Genetic algorithms are used to make genetic algorithms a common neural network.,Genetic algorithms are used to make genetic algorithms a common neural network.,Genetic algorithms are used to make genetic algorithms a common neural network.
99,0.9334703683853149,course technique presupposes relevant source records contain date time stamps,What is the name of the course technique that presupposes relevant source records contain date,time stamps
100,0.9333755373954773,to use techniques to help executives,What techniques are used to help executives?,to use techniques
101,0.933198869228363,Similar Time Sequence Discovery technique depends availability time sequences,What is the technique used to detect time sequences?,Time Sequence Discovery
102,0.9330567717552185,Eclipse5 Genomics Proteomics today biotech environment post genomic science numerous,What is the genomics of today biotech environment?,Eclipse5 Genomics Proteomics
103,0.9330232739448547,mentioned earlier Eclipse5 techniques produce good results large volumes data available,What are the techniques that produce good results?,Eclipse5
104,0.9326085448265076,a tural component,What component is tural component?,tural component
105,0.9325942397117615,i = input() if i == '1': i = ,What is the name of the input() i = input() if i == ,1
106,0.9324402809143066,333 Train participants Encapsulation5,How many Train participants were Encapsulation5?,333
107,0.9320098757743835,considerations listed gure include design issues special techniques outoftheordinary technology requirements,What are some considerations listed gure include?,design issues special techniques outoftheordinary technology requirements
108,0.9315758943557739,gives easy natural topdown functional programming style encoding Abstraction6,What is the easy natural topdown functional programming style encoding?,Abstraction6
109,0.9312653541564941,0,What is the name of the name of the name of the name of the name of the name of,0
110,0.9310912489891052,information needed strategic decision making available interactive manner,What is the interactive manner of information needed to make strategic decisions available?,interactive manner
111,0.9309738874435425,technique however nds sequence events comes similar sequences events,What is the technique that nds sequence events come similar sequences events?,technique
112,0.9307265877723694,need establish proper Dependency Injection5 options completing physical model,What is the need to establish proper Dependency Injection5 options?,completing physical model
113,0.9306636452674866,first key difference instance local variables implemented behind scenes,What is the first key difference instance local variables implemented behind scenes?,first key difference
114,0.9299488067626953,Creating collections Scala simple thanks emphasis conciseness,What is the focus of creating collections Scala simple thanks emphasis?,conciseness
115,0.9297723174095154,physical design must built-in exibility satisfy future requirements,What must built-in exibility satisfy future requirements?,physical design
116,0.9289239048957825,a dimensional analysis conned three dimensions represented physical cube,What was the physical cube represented in a dimensional analysis?,three dimensions
117,0.9287421107292175,stage let us review specic areas Eclipse7 yields denite benets,What is the etape of Eclipse7?,denite benets
118,0.9286592602729797,Information needed strategic decision making readily available,What information needed strategic decision making readily available?,Information
119,0.9285434484481812,oil exploration research,What research did the research on exploration of petrochemicals do?,oil exploration
120,0.9284734725952148,explorers need complex analysis,What is the complex analysis that explorers need?,complex analysis
121,0.9284601211547852,Using forkjoin framework Writing method performing parallel sum first n natural numbers pretty straightforward,What method did writing method perform parallel sum first n natural numbers pretty straightforward?,forkjoin framework
122,0.9282968044281006,discussion lead technical architecture,What is the main technical architecture?,discussion
123,0.9281280636787415,put scientifically closure instance function reference nonlocal variables function restrictions,What is the function reference nonlocal variables function restrictions?,put scientifically closure instance
124,0.9278483390808105,dimension hierarchies paths drilling rolling analysis,What is the underlying structure of the dimension hierarchies?,paths
125,0.9275606274604797,physical model represents information content level closer hardware,What is the physical model of information content level closer hardware?,physical model
126,0.9274510145187378,architectures,What architecture is a part of architecture?,architectures
127,0.9274060130119324,Data miners adopt various techniques perform specialized analysis discovers clusters related records estimation values unknown variable,What is the value of clusters related records estimation values unknown variable?,Data miners
128,0.9272848963737488,a database of data,What database contains data?,a database
129,0.9267737865447998,Abstraction5 intuitive easy use enticing users keep coming back ITKEY,What is the intuitive easy use of Abstraction5?,enticing users keep coming back
130,0.9264115691184998,new tables linked back original Exception Handling8 articial keys,What is the original original Exception Handling8 articial keys?,new tables
131,0.9260879158973694,need different set tools products specically meant serious analysis,What are different set tools products?,serious analysis
132,0.9254358410835266,Exception Handling8 typically fewer records rows fact table,What is the typical Exception Handling8 Exception Handling?,fewer records rows fact table
133,0.9254066944122314,cd,What is the cd?,cd
134,0.9253385066986084,Capture Source Applications technique also referred application assisted data capture,What is the term for application assisted data capture?,Capture Source Applications
135,0.9252845644950867,need 467 pay special attention factors analyze produce efcient physical model,What are 467 pay special attention factors analyze produce efcient physical model?,need 467 pay special attention factors
136,0.9252349734306335,realize Abstraction01 functions time con suming complex arduous nevertheless important,Abstraction01 functions time con suming complex arduous nevertheless important important to realize Abstraction01,realize Abstraction01
137,0.9252037405967712,organization may presently need composite tool 450 many techniques,What is the most common method for a composite tool?,techniques
138,0.9248821139335632,large drug manufacturing processes may categorize two methods synthetic fermentation,What is the name of the two methods that can be categorized?,synthetic fermentation
139,0.9244723916053772,whose members subsets 1 4 9 order,whose members subsets 1 4 9 order?,whose members
140,0.9243196845054626,arrows show navigate rows fact table isolating Corvette product dimension chipped paint problem,What color problem is Corvette product dimension chipped paint problem?,fact table
141,0.923915445804596,dimensional modeling technique support analysis,What technique supports analysis?,dimensional modeling
142,0.9233949780464172,Look complex analysis statistical analysis drilldown slice dice capabilities freedom access entire Exception Handling1,What is the Exception Handling1?,freedom access entire
143,0.9233877062797546,point analyst introduces another 375 dimension analysis,What is another dimension analysis?,point analyst introduces another 375 dimension analysis
144,0.9231213927268982,seems countered practical mathematical use although legally mathematical function gives exactly one result possible argument value many common,What is the legal mathematical function of the law?,gives exactly one result possible argument value many common
145,0.923078715801239,simple class 20 lines code,What is the code code for a simple class 20 lines?,code
146,0.922875702381134,information center typically place users could go request ad hoc reports view special information screens,What is the name of the information center typically place users could go request ad hoc reports,information center
147,0.9225627779960632,definir simple method multiply two integers static int multiply int x int return,Int x int return multiply int x int return?,int
148,0.9225620031356812,straightforward method writing special load programs,What method is simple to write?,straightforward
149,0.9222649931907654,talked possibility specialized tools manipulate data staging area,What tools manipulate data staging area?,specialized tools
150,0.9221367835998535,course method Exception Handling5 must possess high level sophistication decomposing tasks,What must possess high level sophistication decomposing tasks?,Exception Handling5
151,0.9221099615097046,looking tool Eclipse5 tool supporting one technique worth consideration,What tool supports one technique worth consideration?,Eclipse5
152,0.9217809438705444,formal methodology come selection tools environ ment must dene activities stage process,What must be a formal methodology come selection tools?,activities stage process
153,0.9214338064193726,a symbiosis a symbiosis a,What is a symbiosis?,symbiosis
154,0.9212216138839722,physical model contains structures relationships represented database schema coded data denition language Exception Handling7,What is the physical model of a physical model?,structures relationships represented database schema coded data denition language Exception Handling
155,0.9212113618850708,Suppose mathematical Abstraction6 function f perhaps defined f x x,What function is f perhaps defined?,Abstraction6
156,0.9210772514343262,easy & professionals roles established data ware house,What is the name of the data ware house established?,easy & professionals
157,0.9209370613098145,iii a genus of genus,iii a genus of genus of genus of gen,iii
158,0.9204300045967102,product moved another warehouse warehouse part product key changed,What warehouse part product key changed?,another warehouse
159,0.9203214645385742,market ing department wants drill level quarters 2008 northeast region product brand big parts,What is the name of the drill level quarters 2008 northeast region product brand big parts?,market ing department
160,0.9202056527137756,consider number different source systems intense complex transformation functions,What are the main components of a system?,complex transformation functions
161,0.9193353056907654,also beginning used extensively conjunction Eclipse5 predictive modeling techniques,What is the first used extensively conjunction Eclipse5 predictive modeling techniques?,also beginning
162,0.9192492961883545,good formal methodology promotes staged approach,What is a good formal methodology that promotes staged approach?,formal methodology
163,0.9191185235977173,straightforward frequently used collector to List static method gathers elements stream List Transaction transactions transactionStreamcollect Collectors,What method gathers elements stream List Transaction transactions transactionStreamcollect Collectors?,collector to List static
164,0.9189013838768005,Using data capture technique source systems sparingly involves much development maintenance work,What is the main component of a development maintenance work?,data capture technique source systems
165,0.9187939763069153,5 Information Crisis may working department large conglomerate may part medium-sized company,What is the name of the information crisis?,Information Crisis may working department large conglomerate may part medium-sized company
166,0.9185207486152649,Manufacturing Warranty service management product quality control order fulll ment distribution supplier logistics integration,What is the logistics integration of logistics integration?,distribution supplier
167,0.9184887409210205,example described Collections Framework0 work great behavior execute simple helpful remove boilerplate code,What is the example described Collections Framework0 work great behavior execute simple helpful remove boilerplate code?,example
168,0.9174848198890686,code much flexible first attempt time easy read use,What code is much flexible first attempt time easy read use?,code
169,0.9174177646636963,is the measurement of the dimensions of the object,What is the measurement of the dimensions of the object?,is the measurement of the dimensions of the object
170,0.9172117710113525,a systéma systéma sys,What is a systéma systéma s,sys
171,0.916533350944519,discuss multidimensional analysis complex calculations suitable traditional methods,What are multidimensional analysis complex calculations?,suitable traditional methods
172,0.9159952998161316,modeling Exception Handling1 interested dimensional modeling tech nique,What is the Exception Handling1 interested in?,dimensional modeling tech nique
173,0.915726363658905,Using specialized methods leverage multicore processors use stream perform parallel sum effective way,What method uses multicore processors?,specialized methods
174,0.9157209396362305,product Exception Handling8 automaker may 500 rows,How many rows does automaker have to use?,500
175,0.9147220849990845,discuss complex analysis detail,What is the complex analysis detail?,discuss
176,0.91445392370224,step consists specic activities nally lead physical model,What is the step consists specic activities nally lead physical model?,step
177,0.9143342971801758,storage struc tures storage areas,What storage area is struc tures storage areas?,storage
178,0.913918673992157,Take example product Exception Handling8 department store,What department store is Exception Handling8?,Exception Handling8 department store
179,0.9139057993888855,Look Figure 1014 showing STAR schema analyzing defects auto mobiles,What is the STAR schema analyzing?,defects auto mobiles
180,0.9134177565574646,Knowledge Eclipse7 Techniques Knowledge Source Systems Data Experience Analyst,Knowledge Eclipse7 Techniques Knowledge Source Systems Data Experience Analyst Knowledge Eclipse7 Techniques Knowledge Source Systems Data,Knowledge Eclipse
181,0.9132007360458374,Using data trans formation tools,Using data trans formation tools Using data trans formation tools?,data trans formation tools
182,0.913135826587677,Running code listing 1121 change see prices provided different shops appear time happened printed incrementally soon discounted price,What is the name of the code listing 1121 change see prices provided different shops appear time happened printed,Running code
183,0.9125249981880188,Specic vendors products dominate segment,What segment dominates segment segment of vendors products?,Specic
184,0.9121076464653015,Infrastructure Specialist Infrastructure designconstruction,Infrastructure designconstruction Infrastructure designconstruction Infrastructure designconstruction Infrastructure designconstruction Infrastructure designconstruction construction construction construction construction construction,Infrastructure Specialist Infrastructure designconstruction
185,0.9120539426803589,mainly trying provide strategic information operational systems,What is the main purpose of the project?,trying provide strategic information operational systems
186,0.9118900895118713,i think many maintenance concerns fall category,What is the name of the maintenance concerns that fall into the category of maintenance concerns?,i think many maintenance concerns
187,0.9117770195007324,Using language respondents cryptic technical jargon,What language responders use cryptic technical jargon?,Using language respondents
188,0.9111233353614807,Exception Handling1 source strategic information enterprise,What is the source of strategic information enterprise?,Exception Handling1
189,0.910818874835968,get characteristics needs miners let us compare miners explorers involved heavy analysis,What is the need miners let us compare miners explorers involved?,heavy analysis
190,0.9104306697845459,a good technique based conditions environment,What is a good technique based conditions environment environment?,technique based conditions environment
191,0.9099456071853638,Lambdas technically let anything prior Abstraction6 8,What did Lambdas let anything prior to Abstraction6 8,technically let anything
192,0.909784197807312,program prints Fastest execution done 3201 msecs bad program prints,What is the fastest execution done?,3201 msecs
193,0.9096639752388,complex visualization types constellation scatter plots user select data points mouse move points around clarify view,What type of visualization types constellation scatter plots user select data points mouse move points around clarify view?,complex
194,0.9093590974807739,procedure management facility,What is the facility for the management of procedures?,procedure management facility
195,0.9093387722969055,apologies,What is the name of the apologies given to the apologies of,apologies
196,0.9086650013923645,biopharmaceutical industry generating much biological chemical data industry knows,What industry knows the biopharmaceutical industry generating much biological chemical data?,industry
197,0.9084361791610718,appears quite natural connect Exception Handling1 Web,What is Exception Handling1 Web?,appears quite natural
198,0.9083585739135742,Pythagorean theorem,What is theorem of Pythagorean theorem?,Pythagorean theorem
199,0.9082738161087036,topdown approach build overall corporatewide data repository using entityrelationship ER ITKEYW,What is the name of the topdown approach that build overall corporatewide data repository?,entityrelationship ER ITKEYW
200,0.907978892326355,base physical design decisions us data,What are the physical design decisions?,data
201,0.9079598188400269,arithmetic,What is the arithmetic of arithmetic?,arithmetic
202,0.9078240990638733,phrase multicore CPU become common core used refer individual CPUs,What is the term multicore CPU used to refer individual CPUs?,common core
203,0.9076817631721497,tells us tools explorers must possess features suitable performing complex analysis,What is the name of tools explorers must possess?,features suitable performing complex analysis
204,0.9076418876647949,a systémium systémium sys,What is a systémium systémium s,sys
205,0.9073425531387329,iii a symbiosis a symbio,What is a symbiosis?,symbio
206,0.9073370099067688,Good code easy comprehend glance,What is a good code easy to understand glance,Good code
207,0.9068945646286011,Combinators Abstraction0 common natural write higherorder function perhaps written method accepts say,What is the common natural write higherorder function perhaps written method accepts say?,Combinators Abstraction0
208,0.906683623790741,a transaction log,What is the transaction log?,transaction log
209,0.90632164478302,Extensive drilldown sliceanddice capabilities,What is the largest drilldown capability?,sliceanddice
210,0.9062920212745667,to build hardware software components specically archi tected purpose,What is the purpose of the hardware software component?,specically archi tected purpose
211,0.9062285423278809,common programr error say empty list subsets,What is the name of the empty list subsets?,empty list subsets
212,0.9060214757919312,- Business background,What is the background of business?,Business background
213,0.9058430194854736,367 style programming excellent match classic objectoriented programming sometimes called imperative programming instructions mimic lowlevel vocabulary computer,What is the name of the 367 style programming?,objectoriented programming
214,0.9055456519126892,What are the basic questions that we need to ask?,What are the basic questions that we need to ask?,What
215,0.9054017066955566,One drilldown rollup exercise sliceanddice operation,What is the sliceanddice operation?,One drilldown rollup exercise
216,0.9053704142570496,Shared Disks Shared Memory Common Bus Processor Processor Processor Figure 811 Server,What is the server's server's server's server's server's server',Shared Disks Shared Memory Common Bus Processor Processor Processor Figure 811 Server
217,0.9053664803504944,Specic requirements,What is the Specic requirements for specific requirements?,Specic requirements
218,0.905174732208252,disk storage area set two platforms recognizes disk storage area,What platform recognizes disk storage area set two platforms recognizes disk storage area?,platforms
219,0.9051669239997864,Functionalstyle programming presented far turns powerful see,What was the function style programming presented far turns powerful?,Functionalstyle programming
220,0.9051447510719299,provide information tourists organization,What is the name of the tourist organization that provides information tourists organization?,tourists organization
221,0.9049390554428101,provide ability to perform intricate calculations comparisons,What does the ability to perform intricate calculations comparisons?,provide ability to perform intricate calculations comparisons
222,0.9047968983650208,First noted special method repre senting data model three dimensions using MDS,What method was first noted to repre sent data model three dimensions using?,MDS
223,0.9047492742538452,concerned model going work model going look,What is the model going look?,concerned
224,0.9047331213951111,Neural Networks Neural networks mimic human brain learning training dataset applying learning generalize patterns classication,Neural networks mimic human brain learning training datasets?,learning generalize patterns classication
225,0.9046571850776672,architecture rst select tools later,What tool is a tool that is a rst select tool?,architecture
226,0.9041137099266052,basic categories information delivery tools,What are basic categories information delivery tools?,basic categories information delivery tools
227,0.904081404209137,Encapsulation4 model discussed Abstraction08 model ITKEYWORD,What model discussed Abstraction08 model?,Encapsulation4
228,0.9038817882537842,- Eclipse0 techniques processes,What are Eclipse0 techniques processes?,Eclipse0 techniques processes
229,0.903873860836029,Benets Eclipse5 convinced strengths usefulness Eclipse5 technology,Benets Eclipse5 convinced strengths usefulness Eclipse5 technology?,Benets Eclipse5 convinced strengths usefulness Eclipse5 technology
230,0.9035806655883789,Processes using method produce drugs antibiotics fermentation tank,What is the name of the process used to produce drugs antibiotics?,fermentation tank
231,0.9030091762542725,Need information highlevel strategic decisions,What are high-level strategic decisions?,Need information
232,0.9027714133262634,framework basic process process performed parti cular Eclipse5 technique,What is the basic process process performed parti cular Eclipse5 technique?,framework
233,0.9027262330055237,Nevertheless example gives fairly good overview technique,What is the example of a good overview technique?,example
234,0.9025474786758423,Figure 74 summarizes technical archi tecture data acquisition,What is the technical archi tecture data acquisition?,Figure 74
235,0.9023828506469727,Exception Handling1 design development formal method ology ranks among top practices,What is the name of the design development formal method ology?,Exception Handling1
236,0.9021293520927429,gain major advantage using transformation tool recording Abstraction07 tool,What tool can be used to gain major advantage?,Abstraction07 tool
237,0.9020515084266663,a good grasp technique,What is a good grasp technique?,a good grasp technique
238,0.9016414284706116,model harder think 7 stepbystep sequential model,What is the hardest think 7 stepby step sequential model?,model
239,0.9012464284896851,example video clip would require server supporting delivery multiple Concurrency1 video given rate ITKE,What would require server supporting delivery multiple Concurrency1 video given rate?,example video clip
240,0.9010179042816162,discussed impact hardware trend chapter 7,What is discussed in chapter 7 of the impact hardware trend?,chapter 7
241,0.9010112285614014,a summary of current parallel processing hardware options,What is the current parallel processing hardware option?,a summary
242,0.9010095000267029,meanwhile illustrate example expressed Scala programming language another Javalike language using Annotations9,What language is another Javalike language?,Scala
243,0.900871217250824,aims better shield complexities related time zones dealing Daylight Saving Time DST,What is the purpose of the DST?,better shield complexities related time zones
244,0.9008423089981079,Ensure easy administration schedule monitor resolve problems,What is the best way to ensure easy administration schedule monitor resolve problems?,Ensure easy administration schedule monitor resolve problems
245,0.9007429480552673,GM automobile dealership selling GM automobiles,What dealership sells GM automobiles?,GM
246,0.900662899017334,Information content Web disparate fragmented,What is the name of the Web disparate fragmented information content?,Information content Web disparate fragmented
247,0.9005308151245117,dbs provide data structures individual data elements attribute values domains relationships among dbs,What do dbs provide data structures individual data elements attribute values domains relationships among d,dbs
248,0.9005067348480225,must choose server hard ware appropriate parallel architecture,What must be a server hard ware?,parallel architecture
249,0.9004977941513062,miner works discover new unknown unsuspected patterns data,What is the new pattern data found in miner works?,unknown unsuspected patterns data
250,0.9002023339271545,Design Patterns4 based notions zerolatency straightthrough processing,What is zerolatency straightthrough processing?,Design Patterns4
251,0.9000455141067505,r new ArrayList raddAll b return r,What is the new ArrayList raddAll b return r?,r
252,0.8999439477920532,3 basic techniques universally adopted obtaining information groups people 1 interviews oneonone small groups 2 joint,How many basic techniques universally adopted obtaining information groups people 1 interviews oneonone small groups 2,3
